#,Color,Depth,IR,Normals,Optical flow,Combination,Accuracy
1,v,,,,,Color,75.52%
1,,v,,,,Depth,78.84%
1,,,v,,,IR,63.28%
1,,,,v,,Normals,81.95%
1,,,,,v,Optical flow,81.54%
2,v,v,,,,Color + Depth,79.67%
2,v,,v,,,Color + IR,77.39%
2,v,,,v,,Color + Normals,82.57%
2,v,,,,v,Color + Optical flow,81.33%
2,,v,v,,,Depth + IR,80.91%
2,,v,,v,,Depth + Normals,82.99%
2,,v,,,v,Depth + Optical flow,84.23%
2,,,v,v,,IR + Normals,82.78%
2,,,v,,v,IR + Optical flow,81.74%
2,,,,v,v,Normals + Optical flow,84.23%
3,v,v,v,,,Color + Depth + IR,82.16%
3,v,v,,v,,Color + Depth + Normals,82.57%
3,v,v,,,v,Color + Depth + Optical flow,82.78%
3,v,,v,v,,Color + IR + Normals,83.61%
3,v,,v,,v,Color + IR + Optical flow,84.23%
3,v,,,v,v,Color + Normals + Optical flow,84.65%
3,,v,v,v,,Depth + IR + Normals,84.23%
3,,v,v,,v,Depth + IR + Optical flow,84.23%
3,,v,,v,v,Depth + Normals + Optical flow,84.02%
3,,,v,v,v,IR + Normals + Optical flow,84.85%
4,v,v,v,v,,Color + Depth + IR + Normals,84.44%
4,v,v,v,,v,Color + Depth + IR + Optical flow,84.44%
4,v,v,,v,v,Color + Depth + Normals + Optical flow,84.44%
4,v,,v,v,v,Color + IR + Normals + Optical flow,84.65%
4,,v,v,v,v,Depth + IR + Normals + Optical flow,84.65%
5,v,v,v,v,v,Color + Depth + IR + Normals + Optical flow,85.06%
